velocity,torque
-1.517193508148193359e+01,-9.583333333333332593e-01
-1.458952426910400391e+01,-1.000000000000000000e+00
-1.418837833404541016e+01,-8.333333333333332593e-01
-1.409829521179199219e+01,-9.166666666666666297e-01
-1.388264369964599609e+01,-8.750000000000000000e-01
-1.370794200897216797e+01,-7.916666666666666297e-01
-1.344831848144531250e+01,-7.500000000000000000e-01
-1.268403053283691406e+01,-7.083333333333332593e-01
-1.186549663543701172e+01,-6.666666666666666297e-01
-1.096971035003662109e+01,-6.250000000000000000e-01
-1.032877540588378906e+01,-5.833333333333332593e-01
-9.053503990173339844e+00,-5.416666666666666297e-01
-8.037296295166015625e+00,-5.000000000000000000e-01
-7.005541324615478516e+00,-4.583333333333333148e-01
-5.785095214843750000e+00,-4.166666666666666297e-01
-8.594258688390254974e-03,3.333333333333333148e-01
-8.384600281715393066e-03,0.000000000000000000e+00
-7.721130736172199249e-03,1.666666666666666574e-01
-5.618719384074211121e-03,-4.166666666666666435e-02
-4.439905285835266113e-03,4.166666666666666435e-02
-1.299573807045817375e-03,-3.750000000000000000e-01
-1.218708581291139126e-03,-2.083333333333333148e-01
-8.365255780518054962e-04,-8.333333333333332871e-02
-7.955848705023527145e-04,4.166666666666666297e-01
-6.906891940161585808e-04,0.000000000000000000e+00
-6.001965375617146492e-04,2.083333333333333148e-01
2.424246049486100674e-04,-3.333333333333333148e-01
3.345871809870004654e-04,-1.250000000000000000e-01
1.797837438061833382e-03,1.250000000000000000e-01
2.181354677304625511e-03,-1.666666666666666574e-01
3.667596261948347092e-03,3.750000000000000000e-01
4.632896743714809418e-03,-2.500000000000000000e-01
5.503125954419374466e-03,2.500000000000000000e-01
1.027034781873226166e-02,-2.916666666666666297e-01
1.030363608151674271e-02,2.916666666666666297e-01
1.212856825441122055e-02,8.333333333333332871e-02
6.918779373168945312e+00,4.583333333333333148e-01
8.032815933227539062e+00,5.000000000000000000e-01
9.091632843017578125e+00,5.416666666666666297e-01
1.025464153289794922e+01,5.833333333333332593e-01
1.179537200927734375e+01,6.250000000000000000e-01
1.207410144805908203e+01,6.666666666666666297e-01
1.352314567565917969e+01,7.083333333333332593e-01
1.408919143676757812e+01,7.500000000000000000e-01
1.440886497497558594e+01,8.333333333333332593e-01
1.476136112213134766e+01,7.916666666666666297e-01
1.489607143402099609e+01,9.166666666666666297e-01
1.501779365539550781e+01,9.583333333333332593e-01
1.510391521453857422e+01,8.750000000000000000e-01
1.542477035522460938e+01,1.000000000000000000e+00
